track.name,track.id,track.album.name,simplified_genre
The Mexican,0FFbJzXvag9ZRel7oNa1wU,Grand Slam - The Best Of Babe Ruth,rock
Duvet,42qNWdLKCI41S4uzfamhFM,Twilight,rock
Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Rumours (Super Deluxe),rock
Kirby,3YbYasXmwVmUUoX6Abo6oO,On The Strength Of All Convinced,rock
Flexorcist,2P4FWhDB0wxPyULFAAmx15,Flexorcist,rock
Love Theme From Spartacus - Rudy Van Gelder Remaster / 2006,7yzM0pEseQUpb6BMViOPEA,Eastern Sounds,hip hop
Crosshairs,3T2LUDcZRrOnYzV1FprZTy,THE MOUSE & THE MASK,hip hop
Wesley's Theory,7Ks4VCY1wFebnOdJrM13t6,To Pimp A Butterfly,hip hop
Something About You,6RiiSy9GzSwiyDEJDiMuKe,Mulholland Drive,rock
Survival Tactics,4pNT8XTKWb2vhcsqwzdXCT,1999,hip hop
Follow The Leader,1p80AptLonBW0VilSi6xFj,Follow The Leader,hip hop
Orange Shirt,7FUXU3d1lOpbikVA8ewNOS,Scott Pilgrim Takes Off (Soundtrack from the Netflix Original Series),rock
Da Art of Storytellin' (Pt. 1),1KQymTxNJfWk6vCD5ywKW2,Aquemini,hip hop
Everything Everything,2r9AR0xWWiARmVkwRWZq35,Everything Everything,rock
Tell Me You Know,7v0EsDFDBpCgmIruSQTUNZ,Tell Me You Know,rock
Witches,0rh55ZP9egA7YoAgzDEF5K,Witches,rock
Angels,1J8nHv7sGNcCBjzZIYLBcP,Natural Selection,hip hop
